STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED,LAT,LON
Massachusetts,Peabody,BST Jiu Jitsu,bst_jiu_jitsu,,,,,42.53431,-70.969443
New Hampshire,Newington,Port City BJJ,port_city_bjj,,,,,43.085924,-70.827443
New Hampshire,Windham,Renzo Gracie,renzogracienh,11:00AM,9:00AM,,,42.811092,-71.302688
Rhode Island,Coventry,Coventry BJJ,coventryribjj,,11:00AM,,,41.698325,-71.662734
Massachusetts,Leominster,Cesario Team,bjjleominster,,,,,42.520876,-71.770611
Massachusetts,Dorchester,Empower BJJ,empowerbjjusa,11:00AM,,,,42.269728,-72.934495
Connecticut,Stratford,Cruvinel Brothers,cruvinelbros,,,,,41.205688,-73.127986
New Hampshire,Littleton,Resiliency Martial Arts,adam_laclair,,,,,44.343351,-71.795118
Connecticut,West Haven,Dandelion Jiujitsu & Wrestling,dandelionbjj,,9:00AM,,,41.272121,-72.967497
Connecticut,Newtown,Rapadura BJJ,rapadura_bjj,,,,,41.399503,-73.293982
Massachusetts,Tyngsboro,Team Flo Brazilian Jiu Jitsu,team_flo_bjj,,,,,42.667762,-71.42882
New Hampshire,Derry,Start Brazilian Jiu Jitsu NH,start_bjj_nh,,,,,42.887613,-71.282047
New Hampshire,Plaistow,Spero's Brazilian Jiu-Jitsu,btt_plaistow,,,,,42.845597,-71.09326
Massachusetts,Littleton,Gentle Art Dojo,gadlittleton,,,,,42.535931,-71.490569
Maine,Houlton,Aroostook Grappling Club,aroostookbjj,10:00AM,,,,46.140385,-67.842346
Connecticut,Suffield,Full Circle Martial Arts,fullcirclect,,,,,41.999915,-72.678751
Massachusetts,Scituate,Gracie Barra South Shore,gbsouthshore,,,,,42.205062,-70.742978
New Hampshire,Concord,New England BJJ Academy,nebjjacademy,12:00PM,,,,43.232493,-71.561252
Massachusetts,Woburn,Team Forsa / BJJ Boston,teamforsabjj,,,,,42.488703,-71.154383
New Hampshire,Exeter,Hero Jiu Jitsu Academy,herojiujitsu,10:00AM,11:00AM,,,42.988453,-70.961542
Rhode Island,Warwick,Cortes BJJ & Fitness,cortesbjj_ri,,,,,41.703085,-71.42031
Massachusetts,Lakeville,Lakeville MMA Club,lakevillemma,,,,,41.834384,-70.956826
Connecticut,Groton,The Roughhouse,roughhousejj,,,,,41.347718,-72.031345
Connecticut,Southington,Solid Base BJJ,solidbasebjj,,10:30AM,,,41.60716,-72.87876
Massachusetts,Boston,UFC GYM Boston,ufcgymboston,,,,,42.338551,-71.018253
Massachusetts,North Dartmouth,SBG East Coast,sbgeastcoast,,,,,41.56651,-70.958229
Massachusetts,Tewksbury,2002 Jiu Jitsu,2002jiujitsu,,,,,42.612088,-71.227845
Maine,Gray,Carll Clan BJJ,carllclanbjj,,,,,43.90492,-70.367727
Massachusetts,Norwood,Elements MMA,elements_mma,11:00AM,,,,42.187364,-71.195971
Massachusetts,Northampton,Team Link,teamlinknoho,,,,,42.327044,-72.67463
Rhode Island,Providence,Brown University GAMMA,brownugamma,,,,,41.823056,-71.418784
Massachusetts,Natick,Bay State Brazilian Jiu-Jitsu,baystatebjj,,,,,42.284822,-71.348811
Maine,Portland,Blue Wave Brazilian Jiu-Jitsu,bluewavebjj,,,,,43.633157,-70.185305
Massachusetts,Hanover,Torrent Brazilian Jiu-Jitsu,torrent_bjj,10:00AM,,,,42.122956,-70.85631
Massachusetts,Westford,Brazilian Top Team Westford,bttwestford,,,,,42.585541,-71.44025
Connecticut,Farmington,Gracie Farmington Valley,gfvjiujitsu,,11:00AM,,,41.729774,-72.842031
Connecticut,Litchfield,Gracie Litchfield Hills,glhjiujitsu,,,,,41.740937,-73.192751
Massachusetts,Braintree,Gracie Barra Braintree,gbbraintree,1:00PM,,,,42.206188,-71.00232
Massachusetts,Cambridge,Ginsberg Academy BJJ,ginsbergbjj,9:00AM,,,,42.376043,-71.11868
Massachusetts,Stoughton,Maxx Training Center,maxx_center,,,,,42.119006,-71.10365
Massachusetts,Boston,Gracie Barra Boston,gbbostonbjj,1:00PM,,,,42.338551,-71.018253
Massachusetts,Methuen,BJJ Boston 24/7/365,bjj__boston,,,,,42.742641,-71.178651
Maine,Saco,Evolution Athletix,evoathletix,,,,,43.527959,-70.419571
New Hampshire,Nashua,Gate City MMA,gatecitymma,2:00PM,,,,42.749074,-71.490544
New Hampshire,Moultonborough,Hook Fight Co,hookfightco,,,,,43.720515,-71.368582
Massachusetts,Hyannis,Cristyan BJJ,cristyanbjj,1:00PM,,,,41.661478,-70.356951
Massachusetts,Quincy,Trifecta MMA,trifectamma,,,,,42.261006,-71.008988
Rhode Island,Exeter,Elevate Dojo,elevatedojo,,,,,41.569431,-71.627921
Vermont,Rutland,Rutland AJJ,rutland_ajj,10:30AM,,,,43.60967,-72.977788
Massachusetts,Southbridge,Combate Real School,crjjschool,,,,,42.059737,-72.033908
Massachusetts,Somerville,Brazilian Martial Arts Center,bmacboston,,11:00AM,,,42.390445,-71.101033
Massachusetts,Boston,Brazilian Top Team Back Bay,bttbackbay,,10:00AM,,,42.338551,-71.018253
New Hampshire,Bedford,Aqueous Brazilian Jiu-Jitsu,aqueousbjj,8:00AM,8:00AM,,,42.935584,-71.536871
Connecticut,Fairfield,FIT CLUB BJJ & Self-Defense,fitclubbjj,,11:00AM,,,41.17594,-73.272046
Massachusetts,Boston,BU Brazilian Jiu-Jitsu Club,bostonubjj,,,,,42.338551,-71.018253
Massachusetts,Hyannis,Brazilian Top Team Cape Cod,bttcapecod,,,,,41.661478,-70.356951
Massachusetts,Taunton,Morselli Jiu Jitsu Academy,morsellijj,10:00AM,,y,,41.903324,-71.094987
Massachusetts,Charlton,Gracie BJJ and Fitness,hondojjusa,,,,,42.133935,-71.968025
Connecticut,Trumbull,Essencia Jiu Jitsu,essenciajj,,,,,41.272891,-73.211899
Massachusetts,North Billerica,ICON Jiu Jitsu USA,iconbjjusa,,,,,42.559674,-71.260948
Massachusetts,Hanover,PQ Jiu Jitsu,pqjiujitsu,,6:00PM,y,,42.122956,-70.85631
Vermont,Williston,Vermont BJJ,vermontbjj,12:00PM,,,,44.429166,-73.09631
Massachusetts,East Bridgewater,IN Jiujitsu,injiujitsu,,10:00AM,,,42.037116,-70.942178
Massachusetts,Littleton,Unit 232 HQ,unit232.hq,,10:00AM,y,,42.535931,-71.490569
Connecticut,Willington,Agoge Jiu Jitsu,agogejjmt,,12:30PM,,,41.897267,-72.251848
Massachusetts,Weymouth,Dedeco Brazilian Jiu-Jitsu,dedecobjj,,9:00AM,n,,42.2073,-70.943687
Massachusetts,Boston,Brazilian Top Team Boston,bttboston,12:00PM,,,,42.338551,-71.018253
Massachusetts,Rowley,Brazilian Top Team Rowley,bttrowley,,11:00AM,,,42.721495,-70.886637
Connecticut,Oakville,CT Combat Training Center,ct_combat,,,,,41.588972,-73.090475
Massachusetts,Ashland,Selva Brazilian Jiu Jitsu,selva_bjj,,,,,42.257755,-71.473526
Massachusetts,Revere,Brazilian Top Team Revere,bttrevere,,,,,42.421005,-70.99036
Connecticut,Hebron,Hebron BJJ,hebronbjj,,,,,41.658584,-72.39342
Massachusetts,Peabody,Gracie Barra,gbpeabody,12:00PM,,,,42.53431,-70.969443
Maine,Orrington,Young's MMA,youngs.mma,11:00AM,,,,44.68878,-68.762809
Massachusetts,Raynham,Lauzon MMA,lauzonmma,,,,,41.93048,-71.046214
New Hampshire,Somersworth,Nostos MMA,nostosmma,,,,,43.253476,-70.887944
Massachusetts,West Roxbury,Viver MMA,viver.mma,,,,,42.338551,-71.018253
Vermont,Burlington,Grind BJJ,grind.bjj,,,,,44.491927,-73.238882
Massachusetts,Middleboro,REAL BJJ,realbjjma,10:00AM,,,,41.878004,-70.869267
Vermont,St. Albans,The Club,theclubvt,9:45AM,,,,44.811538,-73.084462
Connecticut,Wesport,The Dojo,thedojoct,,,,,41.120831,-73.343464
New Hampshire,Derry,Professional Martial Arts,pmaderry,,,,,42.887613,-71.282047
Connecticut,Mansfield,Uconn Brazilian Jiu-Jitsu,uconnbjj,,,,,41.789272,-72.228464
Massachusetts,Lynn,Brazilian Top Team Lynn,btt.lynn,,,,,42.474766,-70.962035
New Hampshire,Lebanon,UNITA Jiu Jitsu,unitabjj,,,,,43.635428,-72.253837
Massachusetts,Newton,ATOM Jiu-Jitsu,atom_bjj,11:00AM,,y,,42.331768,-71.2084
Connecticut,Glastonbury,F.I.T.E. Fit,fitefit1,,,,,41.691883,-72.552173
Massachusetts,Brockton,Orion BJJ,orionbjj,,7:00PM,y,,42.082543,-71.024638
Massachusetts,Acton,Mass BJJ,mass_bjj,,12:00PM,,,42.483953,-71.438495
Massachusetts,Brighton,Submit Your Friend Academy,syfabjj,11:00AM,,,,42.338551,-71.018253
Massachusetts,Bridgewater,Brazilian Jiu-Jitsu at BSU,bjj_bsu,,,,,41.972376,-70.978773
Connecticut,Glastonbury,Royce Gracie Academy,rgjjnct,,,,,41.691883,-72.552173
Massachusetts,Arlington,Mass BJJ Arlington,massbjj,,,,,42.418722,-71.163912
Rhode Island,North Providence,Folgo Jiu Jitsu,folgojj,,,,,41.861587,-71.456879
Massachusetts,Boston,All 1 MMA,all1mma,,,,,42.338551,-71.018253
Connecticut,Windsor,MMA Barn,mmabarn,,,,,41.871037,-72.675082
Massachusetts,Amherst,NESF MMA,nesfmma,,,,,42.363534,-72.507291
Vermont,Bennington,Toad BJJ,toadbjj,,,,,42.886154,-73.212685
Massachusetts,Lowell,River Hawk Brazilian Jiu Jitsu,umlbjj,,,,,42.638995,-71.32102
Maine,Brunswick,First Class Fitness & MMA,fcfmma,,,,,43.896431,-69.973487
Connecticut,Milford,Fighting Arts Academy CT,faa_ct,10:00AM,,,,41.225086,-73.06111
Massachusetts,Somerville,617 Brazilian Jiu Jitsu,617bjj,12:00PM,,,,42.390445,-71.101033
Connecticut,Plainville,Plainville Martial Arts,pmabjj,,,,,41.673992,-72.854434
Massachusetts,Milford,Terrinha BJJ,tdtbjj,,,,,42.158692,-71.521419
New Hampshire,Hooksett,Team Link NH,tjsosd,10:00AM,10:00AM,,,43.081242,-71.446616
Connecticut,Waterbury,IMB of CT Boxing/MMA,imbct,,,,,41.5585,-73.036685
Connecticut,Waterbury,PSDTC Warriors,psdtc,,,,,41.5585,-73.036685
Massachusetts,Bellingham,USMMA,usmma,,,,,42.076682,-71.47449
Maine,Sanford,Silvestre BJJ,silvestre.bjj,,,,,43.424142,-70.757859
Massachusetts,Hudson,Grip BJJ,gripbjj.hudson,11:00AM,,,,42.389071,-71.545864
Connecticut,Fairfield,Gracie Sports,graciesportsfairfield,11:30AM,,,,41.17594,-73.272046
Massachusetts,Framingham,Holanda BJJ,holanda.bjjacademy,,,,,42.307905,-71.436196
Connecticut,N. Stonington,York’s Martial Arts,yorkmartialarts,,,,,41.36351,-71.911368
New Hampshire,Manchester,Full Circle Martial Arts,fullcirclemafc,,,,,42.984941,-71.444131
Massachusetts,Orange,Roberts Family MMA,robertsfamilymma,,,,,42.605437,-72.292074
Massachusetts,Attleboro,Morselli Jiu Jitsu Academy,mjjattleboro,,,,,41.931653,-71.294503
Massachusetts,New Bedford,Hook and Roll Combat,hookandrollfg,,,,,41.661303,-70.937913
Massachusetts,Tewksbury,Gorilla Crew Fitness,gorillacrewfitness,10:00AM,5:00PM,,,42.612088,-71.227845
Maine,Standish,Ebb and Flow Jiujitsu,ebb_and_flow_jiujiutsu,10:00AM,,,,43.775497,-70.58199
Massachusetts,Chelmsford,Resolve Martial Arts,resolve_bjj_ma,12:30PM,11:30AM,,,42.597055,-71.3697
Rhode Island,Warwick,Braman Jiu Jitsu,bramanjiujitsu,,,,,41.703085,-71.42031
Massachusetts,Middleborough,Michael DeLuca Brazillian Jiu Jitsu,mikedelucabjj,,,,,41.878004,-70.869267
