STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED,LAT,LON
Rhode Island,Bristol,Danny Savery BJJ,dannysaverybjjbristol,,,,,41.67573,-71.273331
Massachusetts,Newton,Gracie Barra,gracie_barra_jiujitsu,12:30PM,,,,42.331768,-71.2084
Massachusetts,Falmouth,Daniel Gracie Academy,danielgraciefalmouth,,,,,41.594889,-70.599245
Massachusetts,Plymouth,Daniel Gracie Academy,danielgracieplymouth,,,,,41.894085,-70.61861
New Hampshire,Concord,Leverage Jiu-Jitsu Academy,leverage_jiujitsu_nh,,10:00AM,y,,43.232493,-71.561252
Connecticut,Orange,Black Wolf Martial Arts,blackwolfmartialarts,,10:00AM,,,41.284951,-73.024637
Massachusetts,Jamaica Plain,JP Martial Arts Academy,jpmartialartsacademy,,,,,42.338551,-71.018253
Massachusetts,Dedham,Gracie Jiu Jitsu Dedham,graciejiujitsudedham,,,,,42.246872,-71.179462
Massachusetts,Quincy,Gracie Jiu Jitsu Quincy,graciejiujitsuquincy,,,,,42.261006,-71.008988
Massachusetts,Waltham,Atlas Jiu Jitsu Waltham,atlasjiujitsuwaltham,,,,,42.388921,-71.242268
Massachusetts,Watertown,Kimura BJJ USA Official,kimurabjjusaofficial,,,,,42.369451,-71.177925
Massachusetts,Whitman,Giannetti Martial Arts,giannettimartialarts,,9:00AM,y,,42.078974,-70.93939
Connecticut,Cromwell,TRITAC Training Center,tritactrainingcenter,,,,,41.616609,-72.66156
Massachusetts,W. Springfield,Battleground JiuJitsu,battlegroundjiujitsu,12:00PM,,,,42.115454,-72.539978
New Hampshire,Conway,Nomad Grappling Club,nomad_grappling_club,,,,,44.005785,-71.06517
Rhode Island,Newport,Newport Martial Arts,newportmartialartsri,,,,,41.476681,-71.319627
Connecticut,Bristol,Ascension Athletics,ascensionathleticsct,,,,,41.681578,-72.940749
Massachusetts,New Bedford,Fight Sports Boston,fightsportsbostonbjj,12:00PM,,,,41.661303,-70.937913
Connecticut,Vernon,Gonzalez Grappling,gonzalezgrapplingllc,,,,,41.837561,-72.45904
Connecticut,Brooklyn,Team Squared BJJ,squared_bjj_brooklyn,,,,,41.787243,-71.957401
Connecticut,Colchester,360 Defense,360defensecolchester,,,,,41.557271,-72.344247
Massachusetts,Leominster,Squared BJJ,squaredbjjleominster,,,,,42.520876,-71.770611
Massachusetts,Newton,Day 1 BJJ,day1_jiujitsu_newton,12:00PM,11:00AM,,,42.331768,-71.2084
Massachusetts,W. Springfield,Gabriel Gladiator,gabrielgladiator.tc,,,,,42.115454,-72.539978
Massachusetts,West Bridgewater,Luiz Paulo Brazilian Jiu Jitsu,luizpaulojiujitsuwb,,,,,42.021617,-71.026717
Massachusetts,Westborough,Alliance Jiu Jitsu,alliancewestborough,12:00PM,,,,42.268426,-71.613309
Massachusetts,Hanover,Daniel Gracie Academy,danielgraciehanover,10:30AM,,,,42.122956,-70.85631
Massachusetts,Hyannis,Daniel Gracie Academy,danielgraciehyannis,,,,,41.661478,-70.356951
Massachusetts,Orleans,Daniel Gracie Academy,danielgracieorleans,,,,,41.765676,-69.966195
Vermont,Brattleboro,Gracie Jiu-Jitsu Brattleboro,brattleborojiujitsu,,,,,42.860187,-72.633078
Vermont,Middlebury,Middlebury AJJ Academy,middlebury_jiujitsu,,,,,44.0019,-73.119047
New Hampshire,Laconia,Lakes Region Vale Tudo,lakesregionvaletudo,,10:30AM,,,43.576535,-71.482263
Vermont,Londonderry,Team Jucão Vermont BJJ,teamjucaovermontbjj,,,,,43.201068,-72.798579
Massachusetts,North Adams,Steeple City JiuJitsu,steeplecityjiujitsu,11:00AM,,,,42.675565,-73.118114
Massachusetts,Northborough,Daniel Gracie Academy,danielgracieacademy,11:00AM,10:00AM,,,42.323342,-71.646236
Massachusetts,Springfield,Fighting Arts Academy,fightingartsacademy,10:45AM,,,,42.115454,-72.539978
Massachusetts,Hudson,Hudson Combat Academy,hudsoncombatacademy,11:00AM,,,,42.389071,-71.545864
Massachusetts,Worcester,Soneca BJJ Worcester,sonecabjj_worcester,,,,,42.269478,-71.807783
Massachusetts,Salem,Forged Krav Maga,forged_bjj_kravmaga,,,,,42.499248,-70.898204
Massachusetts,Marlborough,Phoenix BJJ,phoenix_jj_official,12:00PM,12:00PM,,,42.349617,-71.547214
Maine,South Portland,Choi Institute of Martial Arts,choi_institute_mma,,,,,43.631402,-70.285989
Massachusetts,Boston,Citadel Martial Arts & Fitness,citadelmartialarts,,,,,42.338551,-71.018253
Massachusetts,Natick,Alpha Nerds Training Facility,alphanerdsfacility,,,,,42.284822,-71.348811
Rhode Island,Pawtucket,Team Santos Fighting Academy,teamsantos_bjj_mma,,,,,41.874824,-71.373323
Massachusetts,Brookline,Florian Martial Arts Center,florianmartialarts,12:00PM,,,,42.323853,-71.142003
New Hampshire,Nashua,Bazzani Brazilian Jiu-Jitsu,bazzanimartialarts,,,,,42.749074,-71.490544
Massachusetts,North Andover,Brabos Brazilian Jiu Jitsu,brabosbrazillianjj,,,,,42.673909,-71.091334
Connecticut,Hamden,Soulcraft / Macarra BJJ,macarra_bjj_hamden,11:00AM,11:00AM,,,41.397329,-72.922226
Massachusetts,Marlborough,Soneca BJJ Marlborough,sonecabjj_marlboro,,,,,42.349617,-71.547214
Connecticut,Oakville,Viana Bros Fight Club,vianabrosfightclub,,,,,41.588972,-73.090475
Connecticut,Stamford,Ground Work Jiu-Jitsu,groundworkjiujitsu,,,,,41.079611,-73.54608
Massachusetts,Waltham,Snake Pit New England,snakepitnewengland,,,,,42.388921,-71.242268
Maine,Westbrook,De La Riva Alexey BJJ,delariva_alexeybjj,,,,,43.70792,-70.352602
Massachusetts,Andover,Gracie Barra Andover,gbandover_,,12:00PM,,,42.648044,-71.161751
Massachusetts,Boston,Combat Sports Boston,combatsportsboston,,12:00PM,,,42.338551,-71.018253
Massachusetts,Lowell,The Paradigm Academy,theparadigmacademy,,9:00AM,,,42.638995,-71.32102
Massachusetts,Lowell,The Paradigm Academy,theparadigmacademy,,6:30PM,,,42.638995,-71.32102
Rhode Island,East Providence,Playground Jiu Jitsu,playgroundjiujitsu,11:00AM,,y,,41.800433,-71.359258
Massachusetts,Westborough,Jamaica’s Ground BJJ,jamaicas_groundbjj,,,,,42.268426,-71.613309
New Hampshire,Brentwood,Conquer Self Defense,conquerselfdefense,,10:00AM,,,42.983723,-71.053998
Massachusetts,Waltham,Virtue Martial Arts,virtue_martialarts,2:00PM,,,,42.388921,-71.242268
Massachusetts,Agawam,Ironhold Jiu Jitsu,ironhold_jiujitsu_,9:30AM,,,,42.063891,-72.652959
New Hampshire,Hudson,Precision JiuJitsu,precision_jiujitsu,,10:00AM,y,,42.760497,-71.409393
Rhode Island,South Kingstown,Pride Martial Arts,pridemartialartsri,,,,,41.410847,-71.547469
Vermont,Winooski,Combat Fitness MMA,combatfitnessmmavt,12:00PM,,y,,44.495587,-73.184857
Connecticut,Berlin,Gracie Jiujitsu,gracie_jiujitsu_ct,,,,,41.605451,-72.778497
Massachusetts,Woburn,617 BJJ Woburn,gc.jiujitsuacademy,12:00PM,,,,42.488703,-71.154383
Connecticut,Milford,Renzo Gracie,renzograciemilford,,,,,41.225086,-73.06111
Massachusetts,Hyannis,Sardinha BJJ,sardinhabjjcapecod,,,,,41.661478,-70.356951
Massachusetts,Stoughton,Boston BJJ,bostonbjjstoughton,,,,,42.119006,-71.10365
Connecticut,Fairfield,Radius Martial Arts 10P,radiusmartialarts,,,,,41.17594,-73.272046
Massachusetts,Norwood,Luiz Paulo Brazilian Jiu Jitsu,luizpaulojiujitsu,,,,,42.187364,-71.195971
Connecticut,New Britain,Modern Self Defense Center,modernselfdefense,,,,,41.676555,-72.786161
Connecticut,Tolland,IDP Jiujitsu and Fitness,submission_piracy,,,,,41.883019,-72.358869
Massachusetts,Boston,Back 2 Basics Jiu Jitsu,b2basics_jiujitsu,,11:00AM,,,42.338551,-71.018253
